KD,5.5,8.5,5.6,5.5,5.1,5.2,5.3,5.4,5.4,5.5,5.5,5.8,6.5,6.9,7.0
KD,5.5,8.5,5.8,NaN,5.1,5.1,5.3,5.4,5.4,NaN,5.6,5.9,6.5,NaN,7.0
KD,5.5,8.5,NaN,NaN,5.2,5.3,5.3,5.5,5.7,5.8,5.9,6.1,6.8,7.2,7.2
KD,5.5,8.5,5.7,5.7,5.2,5.4,5.5,5.6,5.6,5.7,5.9,6.1,6.9,7.1,7.2
KD,5.5,8.5,5.6,5.6,5.3,5.4,5.4,5.7,5.5,5.5,5.3,5.0,6.0,6.3,6.0
KD,5.5,8.5,5.6,5.6,5.0,5.2,5.9,6.0,5.8,5.9,6.0,6.2,7.0,7.8,7.2
KD,5.5,8.5,5.7,5.5,5.1,5.2,5.3,5.5,5.5,5.6,5.7,6.0,6.8,7.1,7.1
KD,5.5,8.5,NaN,5.5,5.2,5.3,5.3,5.4,5.4,5.5,5.6,6.0,6.8,7.2,7.0
KD,5.5,8.5,5.7,5.5,5.3,5.4,5.7,5.8,5.9,5.9,5.9,6.1,6.9,7.3,7.3
KD,5.5,8.5,5.4,5.5,5.1,5.2,5.2,5.3,5.4,5.4,5.5,5.7,6.5,6.9,7.0
KD,5.5,8.5,5.7,5.6,5.3,5.4,5.4,5.6,5.7,5.8,6.0,6.3,6.9,7.0,7.3
KD,5.5,8.5,5.7,5.5,5.2,5.3,5.4,5.7,5.7,5.8,5.7,6.0,6.8,7.3,7.0
KD,5.5,8.5,5.7,NaN,5.0,NaN,5.3,5.4,5.4,5.5,5.5,5.8,6.6,NaN,6.9
KD,5.5,8.5,5.8,5.6,5.2,5.3,5.4,5.6,5.6,5.6,5.6,5.9,6.3,6.8,7.0
KD,5.5,8.5,5.5,NaN,5.3,5.4,5.5,5.8,5.9,6.0,6.3,6.5,NaN,NaN,7.5
KD,5.5,8.5,NaN,NaN,5.0,5.1,5.1,5.2,5.0,5.0,5.0,5.2,5.9,6.2,6.7
KD,5.5,8.5,5.6,5.7,5.4,5.5,5.5,5.5,5.5,5.6,5.7,5.9,6.5,6.8,6.8
KD,5.5,8.5,5.7,5.5,5.1,5.2,5.4,5.4,5.4,5.5,5.5,5.7,6.4,6.7,7.0
KD,5.3,8.3,5.4,5.4,5.1,5.2,5.4,5.5,NaN,5.5,5.6,5.9,6.8,7.1,7.0
KD,5.3,8.3,5.5,5.4,5.1,5.1,5.2,5.4,5.4,5.5,5.5,5.8,6.8,7.2,7.0
KD,5.3,8.3,5.5,5.4,4.9,5.0,5.1,5.3,5.3,5.3,5.4,5.6,6.5,6.8,6.9
KD,5.3,8.3,5.4,5.5,5.2,5.3,5.4,5.3,5.3,5.4,5.4,5.6,6.4,6.5,7.0
KD,5.3,8.3,5.4,5.3,5.0,5.1,5.2,5.3,5.4,5.4,5.5,5.7,6.4,6.8,6.8
KD,5.3,8.3,5.5,NaN,4.9,4.8,4.9,5.1,5.2,5.2,5.2,5.3,6.0,6.0,6.5
KD,5.3,8.3,5.5,5.4,5.1,5.2,5.2,5.2,5.2,5.3,5.3,5.6,6.3,6.6,6.8
KD,5.3,8.3,5.7,5.4,5.1,5.1,5.2,5.3,5.3,5.4,5.4,5.6,6.3,6.6,6.9
KD,5.3,8.3,NaN,NaN,4.9,5.0,5.1,5.5,5.6,5.7,5.8,6.0,6.8,NaN,7.2
KD,5.3,8.3,5.5,5.4,5.0,5.1,5.1,5.2,5.3,5.4,5.4,5.5,6.3,6.6,6.7
KD,5.2,8.5,5.2,5.2,4.9,5.0,5.2,5.2,5.3,5.3,5.4,5.7,6.5,6.9,6.7
KD,5.2,8.2,5.4,5.3,4.8,4.9,5.0,5.2,5.2,5.2,5.3,5.4,6.1,6.4,6.5
KD,5.2,8.2,5.4,5.3,4.4,4.6,4.7,5.0,5.1,5.2,5.4,5.8,6.4,6.7,6.8
