LD,6.3,9.3,6.6,6.4,6.2,6.5,6.8,7.0,7.1,7.1,7.2,7.3,8.1,NaN,8.4
LD,6.2,9.2,6.4,6.3,5.7,5.9,6.2,6.5,6.7,6.8,7.0,7.2,7.9,8.2,8.3
LD,6.0,9.0,6.2,6.0,5.5,5.6,6.3,6.4,6.5,6.6,6.7,6.7,7.5,NaN,7.7
LD,6.0,9.0,6.3,5.9,5.8,6.1,6.3,6.5,6.6,6.9,7.0,7.2,7.1,7.5,7.4
LD,6.0,9.0,6.0,5.9,5.6,5.7,5.9,6.1,6.2,6.3,6.5,6.8,7.5,NaN,7.8
LD,6.0,9.0,6.2,6.2,6.2,6.4,6.6,6.7,6.8,7.0,7.2,7.3,7.9,8.3,8.2
LD,6.0,9.0,6.1,6.1,5.8,5.9,6.3,6.6,6.7,6.9,7.1,7.2,8.0,8.1,8.5
LD,6.0,9.0,6.3,6.1,5.3,5.5,5.7,6.3,6.3,6.3,6.3,6.3,6.7,6.9,7.5
LD,6.0,9.0,6.3,6.1,5.7,5.8,6.2,6.4,6.6,6.7,6.9,6.8,7.0,7.3,8.0
LD,6.0,9.0,6.2,5.9,5.7,5.9,6.2,6.5,6.7,6.9,7.1,7.3,8.0,8.3,8.4
LD,5.8,8.8,5.7,5.9,5.4,5.6,5.9,6.3,6.5,6.6,6.8,7.0,7.6,8.0,8.1
LD,5.8,8.8,6.0,5.8,5.6,5.8,5.9,6.1,6.2,6.3,6.5,6.6,7.2,7.5,7.7
LD,5.8,8.8,6.1,NaN,5.4,5.5,5.6,6.3,6.4,6.5,6.6,6.7,7.4,7.4,7.8
LD,5.8,8.8,5.9,5.9,5.6,5.9,6.2,6.7,6.8,6.9,7.0,7.1,7.7,8.1,8.1
LD,5.8,8.8,6.0,5.7,5.4,5.6,5.8,6.1,6.1,6.4,6.6,6.8,7.8,8.2,7.8
LD,5.8,8.8,6.1,5.9,5.6,5.7,6.0,6.4,6.4,6.4,6.4,6.6,7.1,7.7,7.6
LD,5.8,8.8,NaN,NaN,5.6,5.7,5.8,5.8,5.8,5.8,5.9,6.0,6.8,7.1,7.1
LD,5.8,8.8,NaN,5.4,5.2,5.2,5.6,6.2,6.1,6.3,6.4,6.6,7.4,7.7,7.7
LD,5.8,8.8,6.1,5.8,5.3,5.5,5.9,6.2,6.3,6.4,6.4,6.7,7.3,7.7,7.9
LD,5.8,8.8,5.8,5.9,5.5,5.7,5.8,6.0,6.1,6.1,6.2,6.3,7.3,7.6,7.6
LD,5.8,8.8,5.9,5.9,5.8,5.8,6.0,6.1,6.1,6.4,6.6,6.8,7.6,8.0,7.8
LD,5.8,8.8,6.0,5.9,5.4,5.6,5.8,6.2,6.3,6.4,6.4,6.4,7.0,7.6,7.4
LD,5.8,8.8,5.6,5.5,5.3,5.7,5.9,6.2,6.5,6.6,6.7,6.9,7.3,7.5,7.9
LD,5.8,8.8,6.4,6.0,5.7,6.0,6.4,6.6,6.7,6.8,6.9,7.1,7.6,8.2,8.3
LD,5.8,8.8,6.0,5.9,5.5,5.8,6.1,6.3,6.5,6.8,6.9,7.1,7.7,8.3,8.3
LD,5.8,8.8,5.9,5.8,5.5,5.7,6.0,6.3,6.4,6.5,6.7,6.9,7.5,7.9,8.0
LD,5.8,8.7,6.1,NaN,5.4,5.6,6.0,6.2,6.3,NaN,6.7,6.8,7.6,NaN,8.1
LD,5.7,8.7,6.0,5.8,5.8,5.9,6.0,6.2,6.3,6.4,6.7,6.9,7.6,8.0,8.1
LD,5.7,8.7,5.9,5.7,5.3,5.5,5.8,6.2,6.4,6.6,6.8,7.1,7.8,8.1,8.1
LD,5.7,8.7,5.9,5.8,5.3,5.5,5.9,6.2,6.3,6.3,6.3,6.6,7.3,7.6,7.7
LD,5.6,8.8,5.7,5.7,5.4,5.5,5.7,6.3,6.4,6.5,6.6,6.8,7.5,7.9,8.0
LD,5.5,8.6,5.7,5.7,5.3,5.6,6.0,6.3,6.4,6.5,6.6,6.9,7.6,8.0,8.3
LD,5.5,8.5,5.7,5.6,5.2,5.2,5.5,5.8,5.9,6.1,6.4,6.6,7.2,7.5,7.7
LD,5.5,8.5,5.7,5.6,5.0,5.4,5.7,6.1,6.2,6.4,6.5,6.7,7.7,NaN,7.8
LD,5.5,8.5,5.7,5.6,5.2,5.3,5.4,5.9,6.0,6.2,6.3,6.5,7.2,7.6,7.7
LD,5.5,8.5,5.8,5.6,5.5,5.6,5.7,5.7,5.8,5.8,6.2,6.2,6.8,7.2,7.3
LD,5.5,8.5,5.9,5.6,5.3,5.5,5.6,6.1,6.2,6.4,6.6,6.8,7.4,7.8,7.6
LD,5.5,8.5,5.8,5.6,5.3,5.4,5.7,6.0,6.1,6.1,6.2,6.3,7.1,7.5,7.4
LD,5.5,8.5,5.7,5.6,5.4,5.6,5.8,6.2,6.4,6.6,6.7,6.8,7.8,8.1,7.8
LD,5.5,8.5,5.7,5.6,5.1,5.2,5.5,5.7,5.8,5.9,6.0,6.2,6.7,7.2,7.4
LD,5.5,8.5,5.7,5.4,4.8,5.1,5.5,5.8,6.0,6.2,6.4,6.6,7.1,7.2,7.6
LD,5.5,8.5,NaN,NaN,5.0,5.2,5.2,5.5,5.5,5.7,5.8,6.0,6.7,7.0,7.3
LD,5.3,8.3,5.5,5.4,5.1,5.2,5.4,5.7,5.7,5.9,6.0,6.2,6.9,7.3,7.3
LD,5.3,8.3,5.4,5.4,5.1,5.3,5.3,5.4,5.6,5.8,6.0,6.2,7.0,7.8,7.2
LD,5.3,8.3,5.5,5.4,5.0,5.2,5.5,5.7,5.8,6.0,6.1,6.4,7.1,7.6,7.4
LD,5.3,8.3,5.5,5.5,5.0,5.2,5.2,5.8,5.9,5.9,6.0,6.0,6.6,7.3,7.4
LD,5.3,8.3,NaN,NaN,4.8,5.0,5.3,5.5,5.7,5.9,6.1,6.3,7.1,NaN,7.4
