NC,5.5,8.5,5.8,5.1,4.8,4.9,5.2,5.3,5.4,5.5,5.6,5.8,6.6,7.0,7.1
NC,5.5,8.5,5.8,5.5,5.1,5.2,5.2,5.3,5.3,5.3,5.4,5.6,6.5,7.0,6.9
NC,5.5,8.5,5.7,5.5,5.0,5.3,5.2,5.3,5.3,5.3,5.3,5.3,6.4,6.9,6.8
NC,5.5,8.5,5.7,5.5,5.0,5.2,5.4,5.4,5.4,5.4,5.6,5.8,6.9,7.2,7.0
NC,5.5,8.5,5.6,5.6,5.0,5.1,5.3,5.3,5.4,5.5,5.3,5.5,6.4,6.8,6.9
NC,5.5,8.5,5.6,5.5,5.5,5.5,5.6,5.6,5.6,5.6,5.7,5.7,6.4,6.8,6.8
NC,5.5,8.5,5.5,5.5,4.9,5.0,5.1,5.2,5.2,5.3,5.4,5.4,6.2,6.3,6.8
NC,5.5,8.5,5.5,5.5,4.7,4.8,5.2,5.3,5.3,5.3,5.4,5.7,6.9,NaN,7.0
NC,5.3,8.3,4.9,5.2,5.0,5.1,5.1,5.4,5.2,5.3,5.4,5.5,6.0,6.8,6.7
NC,5.3,8.3,5.3,5.3,5.0,5.0,4.9,4.8,4.8,4.9,4.9,5.0,5.8,6.1,6.1
NC,5.2,8.2,5.2,5.1,4.3,4.4,4.4,4.4,4.4,4.4,4.5,4.9,5.7,6.1,6.2
NC,5.2,8.2,5.3,NaN,4.7,NaN,5.0,5.0,5.0,5.0,5.1,5.5,6.4,NaN,6.9
NC,5.0,8.2,NaN,NaN,4.5,4.5,4.5,4.5,4.5,4.5,4.7,4.7,5.2,5.7,6.2
NC,5.0,8.0,5.1,5.1,4.8,4.9,5.0,4.8,4.8,4.8,5.1,5.5,6.8,7.1,6.9
NC,5.0,8.0,5.9,5.7,4.6,4.6,4.9,5.0,5.0,5.1,5.2,5.4,6.2,6.7,6.6
NC,5.0,8.0,5.3,5.4,4.6,4.7,4.6,4.6,4.6,4.5,4.7,5.0,6.2,6.9,6.7
NC,5.0,8.0,5.3,5.0,4.8,4.9,4.8,5.0,5.1,5.2,5.4,5.6,6.2,6.6,6.7
NC,5.0,8.0,5.2,5.1,4.6,4.7,4.8,4.9,5.1,5.2,5.3,5.3,6.2,6.6,6.6
NC,5.0,8.0,5.2,NaN,4.3,4.3,4.3,4.5,4.5,4.6,4.7,4.9,6.2,6.2,6.0
NC,5.0,8.0,5.2,5.2,4.7,4.9,5.0,5.0,5.1,5.1,5.1,5.3,6.2,6.5,6.5
NC,5.0,8.0,5.2,5.1,4.6,4.6,4.7,4.5,4.5,4.6,4.8,5.2,6.0,6.4,6.6
NC,5.0,8.0,5.2,5.1,4.6,4.8,4.8,4.9,5.0,5.1,5.2,5.5,6.3,6.6,6.5
NC,5.0,8.0,5.2,5.0,4.3,4.3,4.4,4.4,4.4,4.6,4.8,5.0,6.0,7.2,6.7
NC,5.0,8.0,5.1,5.0,4.2,4.4,4.6,4.5,4.5,4.5,4.6,5.0,5.8,6.1,6.2
NC,5.0,8.0,5.1,1.0,4.8,4.9,4.8,4.8,4.8,4.9,5.0,5.2,6.3,6.7,6.5
NC,5.0,8.0,5.1,5.1,5.1,5.1,5.2,5.3,5.3,5.3,5.3,5.4,6.4,6.7,6.8
NC,5.0,8.0,5.1,NaN,4.2,4.4,4.5,4.5,4.5,NaN,4.7,4.8,5.7,NaN,6.2
NC,5.0,8.0,5.0,5.0,4.7,4.8,4.9,5.0,5.1,5.2,5.3,5.4,6.4,7.0,6.9
NC,5.0,8.0,5.0,5.0,4.4,4.5,4.4,4.3,4.3,4.3,4.5,5.0,6.3,6.7,6.4
NC,5.0,8.0,NaN,NaN,4.6,4.7,4.7,5.3,5.5,5.6,5.7,6.0,NaN,NaN,7.2
NC,5.0,8.0,NaN,NaN,4.6,4.6,4.6,4.6,NaN,4.9,5.1,5.3,6.1,6.7,6.6
NC,4.9,7.9,5.1,5.1,3.9,4.1,4.6,4.7,4.9,4.9,5.1,5.3,6.1,6.9,6.3
NC,4.9,7.9,4.9,5.0,4.1,4.2,4.2,4.2,4.2,4.3,4.5,4.7,5.6,6.5,6.2
NC,4.9,7.9,5.0,4.9,4.1,4.3,4.4,4.8,4.8,4.8,4.8,5.1,6.2,6.6,6.5
NC,4.9,7.9,5.0,NaN,4.6,4.7,4.7,4.4,NaN,4.4,4.8,5.2,6.1,6.4,6.4
NC,4.8,7.8,5.1,5.0,4.4,4.4,4.5,4.7,4.8,4.8,4.9,5.0,6.3,6.1,6.7
NC,4.8,7.8,4.8,4.8,4.5,4.6,4.7,4.7,4.7,4.7,4.8,5.0,5.8,5.9,6.5
NC,4.8,7.8,4.9,4.8,4.2,4.3,4.2,4.1,4.1,4.0,4.2,4.7,5.5,5.8,6.0
NC,4.8,7.8,4.9,4.8,4.4,4.4,4.5,4.5,4.5,4.6,4.7,4.8,5.8,6.3,6.3
NC,4.6,7.6,4.8,4.6,4.2,4.3,4.3,4.5,4.5,4.7,4.9,5.1,6.1,7.0,6.3
NC,4.5,7.6,4.6,4.4,3.9,4.0,4.2,4.2,4.2,4.3,4.4,4.6,5.5,5.5,6.5
NC,4.5,7.5,4.7,4.5,4.5,4.5,4.5,4.5,4.6,4.6,4.7,4.9,5.6,6.1,6.2
NC,4.5,7.5,4.7,4.6,4.3,4.4,4.4,4.5,4.5,4.6,4.7,5.1,5.9,6.3,6.1
NC,4.5,7.5,4.6,4.6,4.1,4.1,4.0,4.0,4.0,4.0,4.1,4.4,5.4,5.9,6.1
NC,4.3,7.3,5.0,4.8,4.0,4.2,4.2,4.3,4.4,4.4,4.7,4.9,6.0,6.2,6.7
